"","id","comuna","ind_dominio","ind_depend","ind_ingresos","ind_salud","ind_edu"
"1",1,5,0,0,0,0,0
"2",2,2,0,0,0,0,0
"3",3,10,0,0,0,0,0.1
"4",4,15,0,0,0,0.15,0.1
"5",5,8,0,0,0,0,0
"6",6,13,0,0,0,0,0
"7",7,12,0,0,0,0,0
"8",8,3,0,0,0,0,0
"9",9,2,0,0,0,0,0
"10",10,2,0,0,0,0,0
"11",11,1,0,0,0,0,0
"12",12,1,0,0,0,0,0
"13",13,1,0,0,0,0.15,0.1
"14",14,6,0,0,0,0,0.1
"15",15,1,0.2,0,0.15,0.15,0.1
"16",16,7,0,0,0,0,0
"17",17,2,0,0,0,0,0
"18",18,1,0.2,0,0,0.15,0.1
"19",19,1,0,0,0,0,0.1
"20",20,6,0,0,0,0,0
"21",21,3,0,0,0,0,0
"22",22,12,0,0,0,0,0
"23",23,14,0,0,0,0,0
"24",24,7,0,0,0,0,0
"25",25,13,0,0,0,0,0
"26",26,14,0,0,0,0,0
"27",27,3,0,0,0,0,0
"28",28,3,0,0,0,0.15,0
"29",29,1,0,0,0,0,0
"30",30,2,0,0,0,0,0
"31",31,2,0,0,0,0,0
"32",32,1,0,0,0,0,0
"33",33,2,0,0,0,0,0
"34",34,10,0,0,0,0,0.1
"35",35,7,0.2,0,0,0,NA
"36",36,3,0,0,0,0,0.1
"37",37,15,0,0,0,0,0
"38",38,1,0.2,0,0,0.15,0
"39",39,7,0,0,0,0.15,0
"40",40,7,0.2,0,0,0.15,0
"41",41,2,0,0,0,0,0
"42",42,3,0,0,0,0,0
"43",43,5,0,0,0,0,0
"44",44,14,0,0,0,0,0
"45",45,13,0,0,0,0,0
"46",46,3,0,0,0,0.15,0
"47",47,15,0,0,0,0,0
"48",48,7,0,0,0,0,0.1
"49",49,2,0,0,0,0,0
"50",50,1,0,0,0,0,0
"51",51,2,0,0,0,0.15,0
"52",52,2,0,0,0,0,0
"53",53,13,0,0,0,0,0
"54",54,3,0,0,0,0.15,0
"55",55,11,0,0,0,0,0
"56",56,2,0,0,0,0,0
"57",57,13,0,0,0,0,0
"58",58,2,0,0,0,0,0
"59",59,2,0,0,0,0,0
"60",60,1,0,0,0,0.15,0
"61",61,8,0.2,0,0,0.15,0.1
"62",62,1,0,0,0,0,0
"63",63,7,0,0,0,0,0
"64",64,8,0.2,0,0,0.15,0.1
"65",65,4,0,0,0,0,0
"66",66,1,0,0,0,0.15,0.1
"67",67,8,0.2,0,0,0.15,0.1
"68",68,7,0,0,0,0.15,0.1
"69",69,10,0,0,0,0,0.1
"70",70,15,0,0,0,0,0.1
"71",71,9,0,0,0,0,0.1
